ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner
731,1962-08-25,New Zealand,Australia,9,9,1962 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,
732,1962-09-08,New Zealand,Australia,3,0,1962 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False,home_team
733,1962-09-22,New Zealand,Australia,16,8,1962 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False,home_team
734,1962-11-17,Ireland,Wales,3,3,1962 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
735,1963-01-12,France,Scotland,6,11,1963 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,away_team
736,1963-01-19,Wales,England,6,13,1963 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,away_team
737,1963-01-26,Ireland,France,5,24,1963 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
738,1963-02-02,Scotland,Ireland,3,0,1963 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
739,1963-02-02,Scotland,Wales,0,6,1963 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
740,1963-02-11,Ireland,England,0,0,1963 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
741,1963-02-23,England,France,6,5,1963 Five Nations Championship,Twickenham,London,England,False,False,home_team
742,1963-03-09,Wales,Ireland,6,14,1963 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,away_team
743,1963-03-16,England,Scotland,10,8,1963 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team
744,1963-03-23,France,Wales,5,3,1963 Five Nations Championship,Stade Colombes,Paris,France,False,False,home_team
745,1963-04-14,France,Italy,14,12,Test Match,Stade Lesdiguières,Grenoble,France,False,False,home_team
746,1963-05-25,New Zealand,England,21,11,1963 England rugby union tour of Australasia,Eden Park,Auckland,New Zealand,False,False,home_team
747,1963-06-01,New Zealand,England,9,6,1963 England rugby union tour of Australasia,Lancaster Park,Christchurch,New Zealand,False,False,home_team
748,1963-06-04,Australia,England,18,9,1963 England tour of Australia and New Zealand,Sydney Sports Ground,Sydney,Australia,False,False,home_team
749,1963-07-13,South Africa,Australia,14,3,1963 Australia tour of South Africa,Loftus Versfeld Stadium,Pretoria,South Africa,False,False,home_team
750,1963-08-10,South Africa,Australia,5,9,1963 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,False,False,away_team
751,1963-08-24,South Africa,Australia,9,11,1963 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,False,False,away_team
752,1963-09-07,South Africa,Australia,22,6,1963 Australia tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa,False,False,home_team
753,1963-12-07,Ireland,New Zealand,5,6,"1963–64 New Zealand rugby union tour of Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland,False,False,away_team
754,1963-12-21,Wales,New Zealand,0,6,1963–64 New Zealand tour of Europe and North America,National Stadium,Cardiff,Wales,False,False,away_team
755,1964-01-04,England,New Zealand,0,14,"1963–64 New Zealand rugby union tour of Britain, Ireland, France and North America",Twickenham,London,England,False,False,away_team
756,1964-01-04,Scotland,France,10,0,1964 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,home_team
757,1964-01-18,Scotland,New Zealand,0,0,1963-64 New Zealand tour,Murrayfield,Edinburgh,Scotland,False,False,
758,1964-01-18,England,Wales,6,6,1964 Five Nations Championship,Twickenham,London,England,False,False,
759,1964-02-01,Wales,Scotland,11,3,1964 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
760,1964-02-08,France,New Zealand,3,12,1963–64 New Zealand tour,Yves-du-Manoir,Colombes,France,False,False,away_team
761,1964-02-08,England,Ireland,5,18,1964 Five Nations Championship,Twickenham,London,England,False,False,away_team
762,1964-02-22,France,England,3,6,1964 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,away_team
763,1964-02-22,Ireland,Scotland,3,6,1964 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
764,1964-03-07,Ireland,Wales,6,15,1964 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
765,1964-03-21,Scotland,England,15,6,1964 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
766,1964-03-21,Wales,France,11,11,1964 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,
767,1964-03-29,Italy,France,3,12,Test Match,Stadio XXV Aprile,Parma,Italy,False,False,away_team
768,1964-04-11,France,Ireland,27,6,1964 Five Nations Championship,Colombes,Paris,France,False,False,home_team
769,1964-05-23,South Africa,Wales,24,3,1964 Wales tour of Kenya and South Africa,Kings Park,Durban,South Africa,False,False,home_team
770,1964-07-25,South Africa,France,6,8,1964 France rugby union tour of South Africa,Pam Brink Stadium,Springs,South Africa,False,False,away_team
771,1964-08-15,New Zealand,Australia,14,9,1964 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False,home_team
772,1964-08-22,New Zealand,Australia,18,3,1964 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False,home_team
773,1964-08-29,New Zealand,Australia,5,20,1964 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,away_team
774,1965-01-09,France,Scotland,16,8,1965 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
775,1965-01-16,Wales,England,14,3,1965 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
776,1965-01-23,Ireland,France,3,3,1965 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
777,1965-02-06,Scotland,Wales,12,14,1965 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
778,1965-02-13,Ireland,England,5,0,1965 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
779,1965-02-27,England,France,9,6,1965 Five Nations Championship,Twickenham,London,England,False,False,home_team
780,1965-02-27,Scotland,Ireland,6,16,1965 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
781,1965-03-13,Wales,Ireland,14,8,1965 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
782,1965-03-20,England,Scotland,3,3,1965 Five Nations Championship,Twickenham Stadium,London,England,False,False,
783,1965-03-27,France,Wales,22,13,1965 Five Nations Championship,Stade Colombes,Paris,France,False,False,home_team
784,1965-04-10,Ireland,South Africa,9,6,1965 South Africa rugby union tour of Scotland and Ireland,Lansdowne Road,Dublin,Ireland,False,False,home_team
785,1965-04-17,Scotland,South Africa,8,5,1965 South Africa rugby union tour of Scotland and Ireland,Murrayfield,Edinburgh,Scotland,False,False,home_team
786,1965-04-18,France,Italy,21,0,Test Match,Gare de La Croix du Prince,Pau,France,False,False,home_team
787,1965-06-19,Australia,South Africa,18,11,1965 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia,False,False,home_team
788,1965-06-26,Australia,South Africa,12,8,1965 South Africa tour of Australia and New Zealand,Lang Park,Brisbane,Australia,False,False,home_team
789,1965-07-31,New Zealand,South Africa,6,3,1965 South Africa tour,Athletic Park,Wellington,New Zealand,False,False,home_team
790,1965-08-21,New Zealand,South Africa,13,0,1965 South Africa tour,Carisbrook,Dunedin,New Zealand,False,False,home_team
791,1965-09-04,New Zealand,South Africa,16,19,1965 South Africa tour,Lancaster Park,Christchurch,New Zealand,False,False,away_team
792,1965-09-18,New Zealand,South Africa,20,3,1965 South Africa tour,Eden Park,Auckland,New Zealand,False,False,home_team
793,1966-01-15,Scotland,France,3,3,1966 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,
794,1966-01-15,England,Wales,6,11,1966 Five Nations Championship,Twickenham,London,England,False,False,away_team
795,1966-01-29,France,Ireland,11,6,1966 Five Nations Championship,Colombes,Paris,France,False,False,home_team
796,1966-02-05,Wales,Scotland,8,3,1966 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
797,1966-02-12,England,Ireland,6,6,1966 Five Nations Championship,Twickenham,London,England,False,False,
798,1966-02-26,Ireland,Scotland,3,11,1966 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
799,1966-02-26,France,England,13,0,1966 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
800,1966-03-12,Ireland,Wales,9,6,1966 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
801,1966-03-19,Scotland,England,6,3,1966 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
802,1966-03-26,Wales,France,9,8,1966 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
803,1966-04-09,Italy,France,0,21,1966–67 FIRA Nations Cup,Stadio Arturo Collana,Naples,Italy,False,False,away_team
804,1966-12-03,Wales,Australia,11,14,"1966–67 Australia tour of Great Britain, Ireland and France",National Stadium,Cardiff,Wales,False,False,away_team
805,1966-12-17,Scotland,Australia,11,5,"1966–67 Australia tour of Great Britain, Ireland and France",Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
806,1967-01-07,England,Australia,11,23,"1966–67 Australia tour of Great Britain, Ireland and France",Twickenham Stadium,London,England,False,False,away_team
807,1967-01-14,France,Scotland,8,9,1967 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,away_team
808,1967-01-21,Ireland,Australia,15,8,"1966–67 Australia tour of Great Britain, Ireland and France",Lansdowne Road,Dublin,Ireland,False,False,home_team
809,1967-02-04,Scotland,Wales,11,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
810,1967-02-11,Ireland,England,3,8,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
811,1967-02-11,France,Australia,20,14,"1966–67 Australia tour of Great Britain, Ireland and France",Stade Yves-du-Manoir,Colombes,France,False,False,home_team
812,1967-02-25,Scotland,Ireland,3,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
813,1967-02-25,England,France,12,16,1967 Five Nations Championship,Twickenham,London,England,False,False,away_team
814,1967-03-11,Wales,Ireland,0,3,1967 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,away_team
815,1967-03-18,England,Scotland,27,14,1967 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team
816,1967-03-26,France,Italy,60,13,1967–68 FIRA Nations Cup,Stade Mayol,Toulon,France,False,False,home_team
817,1967-04-01,France,Wales,20,14,1967 Five Nations Championship,Stade Colombes,Paris,France,False,False,home_team
818,1967-04-15,Wales,England,34,21,1967 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
819,1967-04-15,Ireland,France,6,11,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
820,1967-05-13,Australia,Ireland,5,11,1967 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
821,1967-07-15,South Africa,France,26,3,1967 France rugby union tour of South Africa,Kings Park,Durban,South Africa,False,False,home_team
822,1967-07-22,South Africa,France,16,3,1967 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False,home_team
823,1967-07-29,South Africa,France,14,19,1967 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,False,False,away_team
824,1967-08-12,South Africa,France,6,6,1967 France rugby union tour of South Africa,Newlands,Cape Town,South Africa,False,False,
825,1967-08-19,New Zealand,Australia,29,9,1967 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,home_team
826,1967-11-04,England,New Zealand,11,23,"1967 New Zealand rugby union tour of Britain, France and Canada",Twickenham,London,England,False,False,away_team
827,1967-11-11,Wales,New Zealand,6,13,"1967 New Zealand tour of Great Britain, France and Canada",National Stadium,Cardiff,Wales,False,False,away_team
828,1967-11-25,France,New Zealand,15,21,1967 New Zealand tour,Yves-du-Manoir,Colombes,France,False,False,away_team
829,1967-12-02,Scotland,New Zealand,3,14,1967 New Zealand tour,Murrayfield,Edinburgh,Scotland,False,False,away_team
830,1968-01-13,Scotland,France,6,8,1968 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,away_team
831,1968-01-20,England,Wales,11,11,1968 Five Nations Championship,Twickenham,London,England,False,False,
832,1968-01-27,France,Ireland,16,6,1968 Five Nations Championship,Colombes,Paris,France,False,False,home_team
833,1968-02-03,Wales,Scotland,5,0,1968 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
834,1968-02-10,England,Ireland,9,9,1968 Five Nations Championship,Twickenham,London,England,False,False,
835,1968-02-24,France,England,14,9,1968 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
836,1968-02-24,Ireland,Scotland,14,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
837,1968-03-09,Ireland,Wales,9,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
838,1968-03-16,Scotland,England,6,8,1968 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
839,1968-03-23,Wales,France,9,14,1968 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,away_team
840,1968-06-15,Australia,New Zealand,11,27,1968 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
841,1968-06-22,Australia,New Zealand,18,19,1968 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,away_team
842,1968-07-13,New Zealand,France,12,9,1968 French tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False,home_team
843,1968-07-27,New Zealand,France,9,3,1968 French tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,home_team
844,1968-08-10,New Zealand,France,19,12,1968 French tour of New Zealand,Eden Park,Auckland,New Zealand,False,False,home_team
845,1968-08-17,Australia,France,11,10,1968 France tour of New Zealand and Australia,Sydney Cricket Ground,Sydney,Australia,False,False,home_team
846,1968-10-26,Ireland,Australia,10,3,1968 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False,home_team
847,1968-11-06,Scotland,Australia,9,3,1968 Australia tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
848,1968-11-09,France,South Africa,9,12,1968 South Africa rugby union tour of France,Parc Lescure,Bordeaux,France,False,False,away_team
849,1968-11-16,France,South Africa,11,16,1968 South Africa rugby union tour of France,Yves-du-Manoir,Colombes,France,False,False,away_team
850,1969-01-11,France,Scotland,3,6,1969 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,away_team
851,1969-01-25,Ireland,France,17,9,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
852,1969-02-01,Scotland,Wales,3,17,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
853,1969-02-08,Ireland,England,17,15,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
854,1969-02-22,Scotland,Ireland,0,16,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
855,1969-02-22,England,France,22,8,1969 Five Nations Championship,Twickenham,London,England,False,False,home_team
856,1969-03-08,Wales,Ireland,24,11,1969 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
857,1969-03-15,England,Scotland,8,3,1969 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team
858,1969-03-22,France,Wales,8,8,1969 Five Nations Championship,Stade Colombes,Paris,France,False,False,
859,1969-04-12,Wales,England,30,9,1969 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
860,1969-05-31,New Zealand,Wales,19,0,"1969 Wales tour of New Zealand, Australia and Fiji",Lancaster Park,Christchurch,New Zealand,False,False,home_team
861,1969-06-14,New Zealand,Wales,33,12,"1969 Wales tour of New Zealand, Australia and Fiji",Eden Park,Auckland,New Zealand,False,False,home_team
862,1969-06-21,Australia,Wales,16,19,"1969 Wales tour of Australia, New Zealand and Fiji",Sydney Cricket Ground,Sydney,Australia,False,False,away_team
863,1969-08-02,South Africa,Australia,30,11,1969 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,False,False,home_team
864,1969-08-16,South Africa,Australia,16,9,1969 Australia tour of South Africa,Kings Park Stadium,Durban,South Africa,False,False,home_team
865,1969-09-06,South Africa,Australia,11,3,1969 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,False,False,home_team
866,1969-09-20,South Africa,Australia,19,8,1969 Australia tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False,home_team
867,1969-12-06,Scotland,South Africa,6,3,1969–70 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland,False,False,home_team
868,1969-12-20,England,South Africa,11,8,1969-70 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England,False,False,home_team
869,1970-01-10,Scotland,France,9,11,1970 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,away_team
870,1970-01-10,Ireland,South Africa,8,8,1969–70 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False,
871,1970-01-24,Wales,South Africa,6,6,1969–70 South Africa tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,False,False,
872,1970-01-24,France,Ireland,8,0,1970 Five Nations Championship,Colombes,Paris,France,False,False,home_team
873,1970-02-07,Wales,Scotland,18,9,1970 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
874,1970-02-14,England,Ireland,9,3,1970 Five Nations Championship,Twickenham,London,England,False,False,home_team
875,1970-02-21,Scotland,England,14,5,1970 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
876,1970-02-28,Ireland,Scotland,16,11,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
877,1970-02-28,England,Wales,13,17,1970 Five Nations Championship,Twickenham,London,England,False,False,away_team
878,1970-03-14,Ireland,Wales,14,0,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
879,1970-04-04,Wales,France,11,6,1970 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
880,1970-04-18,France,England,35,13,1970 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
881,1970-06-06,Australia,Scotland,23,3,1970 Scotland tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,home_team
882,1970-07-25,South Africa,New Zealand,17,6,1970 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa,False,False,home_team
883,1970-08-08,South Africa,New Zealand,8,9,1970 New Zealand tour,Newlands,Cape Town,South Africa,False,False,away_team
884,1970-08-29,South Africa,New Zealand,14,3,1970 New Zealand tour,Boet Erasmus Stadium,Port Elizabeth,South Africa,False,False,home_team
885,1970-09-12,South Africa,New Zealand,20,17,1970 New Zealand tour,Ellis Park,Johannesburg,South Africa,False,False,home_team
886,1971-01-16,France,Scotland,13,8,1971 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
887,1971-01-16,Wales,England,22,6,1971 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
888,1971-01-30,Ireland,France,9,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
889,1971-02-06,Scotland,Wales,18,19,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
890,1971-02-13,Ireland,England,6,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
891,1971-02-27,Scotland,Ireland,5,17,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team
892,1971-02-27,England,France,14,14,1971 Five Nations Championship,Twickenham,London,England,False,False,
893,1971-03-13,Wales,Ireland,23,9,1971 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
894,1971-03-20,England,Scotland,15,16,1971 Five Nations Championship,Twickenham Stadium,London,England,False,False,away_team
895,1971-03-27,Scotland,England,26,6,Rugby Union Centenary International,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
896,1971-03-27,France,Wales,5,9,1971 Five Nations Championship,Stade Colombes,Paris,France,False,False,away_team
897,1971-06-12,South Africa,France,22,9,1971 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False,home_team
898,1971-06-19,South Africa,France,8,8,1971 France rugby union tour of South Africa,Kings Park,Durban,South Africa,False,False,
899,1971-07-17,Australia,South Africa,11,19,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
900,1971-07-31,Australia,South Africa,6,14,1971 South Africa tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,False,False,away_team
901,1971-08-07,Australia,South Africa,6,18,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
902,1971-11-20,France,Australia,11,13,1971 Australia tour of France,Stadium Municipal,Toulouse,France,False,False,away_team
903,1971-11-27,France,Australia,18,9,1971 Australia tour of France,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
904,1972-01-15,England,Wales,3,12,1972 Five Nations Championship,Twickenham,London,England,False,False,away_team
905,1972-01-15,Scotland,France,20,9,1972 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,home_team
906,1972-01-29,France,Ireland,9,14,1972 Five Nations Championship,Colombes,Paris,France,False,False,away_team
907,1972-02-05,Wales,Scotland,35,12,1972 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
908,1972-02-12,England,Ireland,12,16,1972 Five Nations Championship,Twickenham,London,England,False,False,away_team
909,1972-02-26,France,England,37,12,1972 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
910,1972-03-18,Scotland,England,23,9,1972 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
911,1972-03-25,Wales,France,20,6,1972 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
912,1972-04-29,Ireland,France,24,14,Test Match,Lansdowne Road,Dublin,Ireland,False,False,home_team
913,1972-06-03,South Africa,England,9,18,1972 England rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,False,False,away_team
914,1972-06-17,Australia,France,14,14,1972 France tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,
915,1972-06-25,Australia,France,15,16,1972 France tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,away_team
916,1972-08-19,New Zealand,Australia,29,6,1972 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,home_team
917,1972-09-02,New Zealand,Australia,30,17,1972 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False,home_team
918,1972-09-16,New Zealand,Australia,38,3,1972 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False,home_team
919,1972-12-02,Wales,New Zealand,16,19,1972–73 New Zealand tour of Europe and North America,National Stadium,Cardiff,Wales,False,False,away_team
920,1972-12-16,Scotland,New Zealand,9,14,1972-73 New Zealand tour,Murrayfield,Edinburgh,Scotland,False,False,away_team
921,1973-01-06,England,New Zealand,0,9,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Twickenham,London,England,False,False,away_team
922,1973-01-13,France,Scotland,16,13,1973 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team
923,1973-01-20,Wales,England,25,9,1973 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
924,1973-01-20,Ireland,New Zealand,10,10,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland,False,False,
925,1973-02-03,Scotland,Wales,10,9,1973 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
926,1973-02-10,Ireland,England,18,9,1973 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
927,1973-02-10,France,New Zealand,13,6,1972–73 New Zealand tour,Parc des Princes,Paris,France,False,False,home_team
928,1973-02-24,England,France,14,6,1973 Five Nations Championship,Twickenham,London,England,False,False,home_team
929,1973-02-24,Scotland,Ireland,19,14,1973 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
930,1973-03-10,Wales,Ireland,16,12,1973 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
931,1973-03-17,England,Scotland,20,13,1973 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team
932,1973-03-24,France,Wales,12,3,1973 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team
933,1973-04-14,Ireland,France,6,4,1973 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
934,1973-09-15,New Zealand,England,10,16,1973 England rugby union tour of Fiji and New Zealand,Eden Park,Auckland,New Zealand,False,False,away_team
935,1973-11-10,Wales,Australia,24,0,1973 Australia tour of Great Britain and Italy,National Stadium,Cardiff,Wales,False,False,home_team
936,1973-11-17,England,Australia,20,3,1973 Australia tour of Great Britain and Italy,Twickenham Stadium,London,England,False,False,home_team
937,1974-01-19,France,Ireland,9,6,1974 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team
938,1974-01-19,Wales,Scotland,6,0,1974 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
939,1974-02-02,Ireland,Wales,9,9,1974 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
940,1974-02-02,Scotland,England,16,14,1974 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
941,1974-02-06,England,Ireland,21,26,1974 Five Nations Championship,Twickenham,London,England,False,False,away_team
942,1974-02-16,Wales,France,16,16,1974 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,
943,1974-03-02,France,England,12,12,1974 Five Nations Championship,Parc des Princes,Paris,France,False,False,
944,1974-03-02,Ireland,Scotland,9,6,1974 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
945,1974-03-16,England,Wales,16,12,1974 Five Nations Championship,Twickenham,London,England,False,False,home_team
946,1974-03-16,Scotland,France,19,6,1974 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,home_team
947,1974-05-25,Australia,New Zealand,6,11,1974 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
948,1974-06-01,Australia,New Zealand,16,16,1974 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,
949,1974-06-08,Australia,New Zealand,6,16,1974 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
950,1974-06-20,Argentina,France,15,20,1974 France tour of Brazil and Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,False,False,away_team
951,1974-06-29,Argentina,France,27,31,1974 France tour of Brazil and Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,False,False,away_team
952,1974-11-23,France,South Africa,4,13,1974 South Africa rugby union tour of France,Stadium Municipal,Toulouse,France,False,False,away_team
953,1974-11-23,Ireland,New Zealand,6,15,"1974 New Zealand rugby union tour of Ireland, Wales and England",Lansdowne Road,Dublin,Ireland,False,False,away_team
954,1974-11-30,France,South Africa,8,10,1974 South Africa rugby union tour of France,Parc des Princes,Paris,France,False,False,away_team
955,1975-01-18,France,Wales,10,25,1975 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
956,1975-01-18,Ireland,England,12,9,1975 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
957,1975-02-01,England,France,20,27,1975 Five Nations Championship,Twickenham,London,England,False,False,away_team
958,1975-02-01,Scotland,Ireland,20,13,1975 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team
959,1975-02-15,Wales,England,20,4,1975 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
960,1975-02-15,France,Scotland,10,9,1975 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team
